_id,작성자,별점 점수,리뷰내용
658a9837c41002f5926ed0d3,"Kinomad,",2.0,너 내 동료가 되어라. 동료만 되어라.
658a9837c41002f5926ed0d4,인생은 영화다,1.5,"이제 SF영화를 좋아하지 말아야 하나 맥락도 없구 너무 우주의 서사를 쉽게 묘사하는 경우까지 왜케 슬로우가 많은지. 그저 시간늘리기 파트 나누기가 무슨 트랜드인듯, 고객을 호구로 아는 냇플렉"
658a9837c41002f5926ed0d5,Bob Choi,2.0,영화가 마치 유튜브 요약본을 보는 느낌. 소피아부탤라는 주연으로서 좀 부족하다. 이러고 감독판 만들바엔 첨부터 감독판 내라
658a9837c41002f5926ed0d6,참치네🐳,2.0,"아 잭스나이더 감독님 이번에도 거하게 말아먹었네요.\n\n스토리 빈약.\n여러 캐릭터를 살리질 못함.\n처음 10분과 마지막 10분만 붙여도 말이되는 영화라면... 볼장 다 본 듯...\n\n왠만하면 안보려 했는데, 배두나님 보러들어갔다가 시간이 아깝다는 경험만 했네요. 스타워즈의 영광을 가져오고 싶었다면  스토리 라인 공부부터 하시길..."
658a9837c41002f5926ed0d7,Jay Lee,3.5,잭 스나이더감독의 과잉이 좋다
658a9837c41002f5926ed0d8,Thoomem,2.0,"단 하나도 새로운 것이 없는 스페이스 오페라, 그리고 슬로우모션 범벅."
658a9837c41002f5926ed0d9,빙가빙,2.0,여주가 이뻐서 그런가 말 몇마디면 다 해주네ㅋㅋㅋ아니ㅋㅋㅋcg잘해놓으면 뭐해 그냥 웃기기만한데… 원래 드라마로 만드려고 했다가 엎어졌나봐ㅜㅜ
658a9837c41002f5926ed0da,저당주먹밥,2.0,스페이스 오폐수
658a9837c41002f5926ed0db,사춘기,1.5,앙상한 뼈대 위에 살만 뒤룩뒤룩 찐 거울 속 적나라한 내 모습을 볼 때의 기분.
658a9837c41002f5926ed0dc,bonjour87,2.0,"🏁길드원 모집중⚒\n보상 : 평화,명예"
658a9837c41002f5926ed0dd,알투디투,1.5,인물 포장해서 있어보이게 만드느라 2시간을 허비.\n군 역사상 가장 위험하고 실력있다는 코라는 등장만 그럴싸..쌈은 아마수준.\n천재적인 사령관이라는 타이투스는\n주정뱅이 아가리파이터.\n전설적인 검객이라는 네메시스는....\n훔~~길복순이가 칼은 더 잘쓰는듯.\n타라크 왕자라는 애는 복근 말고는\n뭘 하는 애인지 존재감 제로.\n하~~~~2편도 있다고? 접어야해 봐야해? 설마 잭 스나이더가 이렇게 뒤통수 치진 않겠지?
658a9837c41002f5926ed0de,재미없기만해라,2.0,거장의 고집은 대작을 만들고\n잭스나이더의 고집은 아작 내야한다.
658a9838c41002f5926ed0df,Double.H,2.0,"잭스나이더의 총기가 점차 사라지는 느낌. 슬로우모션 남발과 어처구니없는 개연성에 탄성이 절로 나옴.\n연달아 실패하고 있는 잭. "" 잭 잭 웨얼아유"""
658a9838c41002f5926ed0e0,김웅기,2.0,잭 스나이더 감독은 돈이 많은 것 같다.
658a9838c41002f5926ed0e1,김태균,2.5,스포일러가 있어요!! 보기
658a9838c41002f5926ed0e2,미지수,1.5,이제 ‘잭 스나이더의’ 라는 말은 쓰여지지 않을 듯 하다.
658a9838c41002f5926ed0e3,놈심심람몀,1.5,캐릭터 하나 같이 너무 평면적 소모적\n클리셰가 진부한 역할만 함\n개연성 떨어짐\n조연들 죄다 설득당하기 위해 준비하고 있는 사람들 같음 신념이란 게 없음??\n슬로우모션 쓸 데 없는 곳에 쓰이는데 심지어 자주 쓰임\n영화 아직 삼분의  일도 안 봄...
658a9838c41002f5926ed0e4,송쩐성짜,2.0,왜이러는거
658a9838c41002f5926ed0e5,루정,2.0,"듄,\n가오갤,\n300,\n헝거게임\n그리고\n여러잡다한영화들"
658a9838c41002f5926ed0e6,김광휘,2.0,"거대한 함선부터 개개인의 감정선, 설명충스러운 대사, 코웃음치게 만드는 액션까지\n모든 설계의 어설픔과 삐걱댐이 결말까지 이어진다."
658a9838c41002f5926ed0e7,박유민,2.0,슬로우모션이 늘어질 때 마다 심장박동도 같이 느려진다.
658a9838c41002f5926ed0e8,기믄진,0.5,비주얼만 예쁘다\n배우들도 연기하면서 내 역할이 이렇게 납작하다고? 계속 의심했을듯
658a9838c41002f5926ed0e9,이시진,2.0,무슨말이 하고싶냐\n이럴거면 드라마로뽑지…
658a9838c41002f5926ed0ea,Pieoria,None,<듄> 게 섯거라! 비주얼 거장 잭스나이더의 대작 SF <레벨문> 나가신다!
658a9838c41002f5926ed0eb,유르이,2.0,"과한 슬로우 모션, 밋밋한 캐릭터들, 구멍 많은 전개는 야심찬 작품의 질을 떨어뜨릴 뿐."
